PersonalID	c	r	t
G11319	NCS233	1091	1091	9
G11349	NCS237	352	384.13	0
G10012	NCS237	472	543.3	1
G11367	NCS237	612	661	2
G11322	NCS237	727	759.64	3
G11306	NCS237	840	842.6	6
G11330	NCS237	918	913.72	7
G11368	NCS237	976	976	9
G10399	NCS248	198	346.34	0
G10325	NCS248	532	517.64	1
G11413	NCS248	741	660.81	2
G11489	NCS248	877	778.37	3
G10380	NCS248	975	877.95	6
G10313	NCS248	1012	963.76	7
G11415	NCS248	1084	1039.48	8
G10356	NCS248	1115	1115	9
G10007	NCS253	383	405.31	0
G10309	NCS253	586	614.27	1
G11433	NCS253	696	762.65	2
G11436	NCS253	908	890.44	3
G10353	NCS253	1045	998.47	5
G10364	NCS253	1118	1096.34	6
G11485	NCS253	1194	1191.77	7
G10336	NCS253	1274	1280.7	8
G11453	NCS253	1363	1363	9
G10387	NCS255	411	312.77	0
G10396	NCS255	544	466.67	1
G10386	NCS255	687	602.43	2
G11457	NCS255	711	707.5	3
G11461	NCS255	872	802.15	5
G11458	NCS255	895	892.2	6
G11409	NCS255	955	962.55	7
G10340	NCS255	1001	1025.25	8
G11477	NCS255	1085	1085	9
G11406	NCS263	422	453.1	0
G10392	NCS263	667	686.11	1
G11440	NCS263	786	850	2
G11428	NCS263	968	988.99	5
G10358	NCS263	1030	1093.99	6
G11496	NCS263	1144	1187.13	7
G11456	NCS263	1241	1273.96	8
G11462	NCS263	1350	1350	9
