#SampleID	CU	NAU	NCS
T20725	0.516	0.442	0.042
T21185	0.228	0.636	0.136
T20778	0.448	0.502	0.05
T20842	0.406	0.486	0.108
T20470	0.478	0.408	0.114
T21273	0.412	0.512	0.076
T20347	0.224	0.658	0.118
T21093	0.416	0.406	0.178
T20828	0.358	0.442	0.2
T20546	0.508	0.434	0.058
T20770	0.544	0.386	0.07
T20969	0.37	0.508	0.122
T20931	0.428	0.512	0.06
T20819	0.48	0.472	0.048
T20335	0.358	0.562	0.08
T21187	0.37	0.508	0.122
T21486	0.396	0.378	0.226
T21055	0.312	0.516	0.172
T20423	0.364	0.456	0.18
T20965	0.416	0.518	0.066
T21023	0.398	0.502	0.1
T20701	0.35	0.556	0.094
T20755	0.392	0.46	0.148
T21199	0.466	0.48	0.054
T20674	0.458	0.478	0.064
T21241	0.294	0.646	0.06
T21430	0.238	0.542	0.22
T21418	0.336	0.404	0.26
T21498	0.202	0.474	0.324
T20220	0.296	0.59	0.114
T20401	0.342	0.506	0.152
T20257	0.33	0.552	0.118
